Sr_No,id,lastname,firstname,gender,ethnicity,year,lowup,section,gpa,extrc,review,quiz1,quiz2,quiz3,quiz4,quiz5,final,total,percent,grade,passfail
1,106484,VILLARRUZ,ALFRED,2,2,2,1,2,1.18,1,2,6,5,7,6,3,53,80,64,D,P
2,108642,VALAZQUEZ,SCOTT,2,4,3,2,2,2.19,2,1,10,10,7,6,9,54,96,77,C,P
3,127285,GALVEZ,JACKIE,1,4,4,2,2,2.46,2,2,10,7,8,9,7,57,98,78,C,P
4,132931,OSBORNE,ANN,1,3,2,1,2,3.98,1,1,7,8,7,7,6,68,103,82,B,P
5,140219,GUADIZ,VALERIE,1,2,4,2,1,1.84,1,1,7,8,9,8,10,66,108,86,B,P
6,142630,RANGIFO,TANIECE,1,4,3,2,3,3.9,1,2,10,10,10,9,9,74,122,98,A,P
7,153964,TOMOSAWA,DANIEL,2,2,3,2,3,2.84,2,1,10,9,10,10,10,63,112,90,A,P
8,154441,LIAN,JENNY,1,5,2,1,1,3.57,1,2,10,9,10,10,10,71,120,96,A,P
9,157147,BAKKEN,KREG,2,4,3,2,1,3.95,2,2,10,10,10,10,9,74,123,98,A,P
10,164605,LANGFORD,DAWN,1,3,3,2,2,3.49,2,1,10,10,9,10,10,75,124,99,A,P
11,164842,VALENZUELA,NANCY,1,1,4,2,2,2.32,1,1,7,8,6,7,10,59,97,78,C,P
12,167664,SWARM,MARK,2,4,3,2,3,2.35,1,2,8,10,10,10,9,71,118,94,A,P
13,175325,KHOURY,DENNIS,2,4,3,2,1,2.45,1,1,8,8,10,10,6,69,111,89,B,P
14,192627,MISCHKE,ELAINE,1,4,1,1,2,2.9,1,1,3,8,4,6,8,55,84,67,D,P
15,211239,AUSTIN,DERRICK,2,4,3,2,3,2.33,1,2,5,5,7,6,4,52,79,63,D,P
16,219593,POTTER,MICKEY,1,5,3,2,3,2.54,1,2,5,8,6,4,10,61,94,75,C,P
17,237983,LEE,JONATHAN,2,2,4,2,2,1.66,2,2,5,7,4,7,6,63,92,74,C,P
18,245473,DAYES,ROBERT,2,4,3,2,1,2.74,1,1,8,9,6,7,10,48,88,70,C,P
19,249586,STOLL,GLENDON,2,4,3,2,2,2.51,1,1,5,9,5,6,10,63,98,78,C,P
20,260983,CUSTER,JAMES,2,4,4,2,1,2.54,1,1,10,9,10,10,7,60,106,85,B,P
21,273611,WU,VIDYUTH,1,2,2,1,2,3.7,1,2,3,6,2,6,6,55,78,62,D,P
22,280440,CHANG,RENE,1,2,3,2,2,3.9,1,2,10,8,10,10,8,68,114,91,A,P
23,287617,CUMMINGS,DAVENA,1,5,3,2,3,2.21,1,2,9,10,9,9,9,52,98,78,C,P
24,289652,BRADLEY,SHANNON,1,4,3,2,1,2.46,1,2,6,9,8,9,9,68,109,87,B,P
25,302400,JONES,ROBERT,2,3,4,2,3,1.14,1,2,2,5,4,5,6,43,65,52,F,F
26,307894,TORRENCE,GWEN,1,3,2,1,2,2.09,2,2,6,5,4,7,6,62,90,72,C,P
27,337908,UYEYAMA,VICTORINE,1,1,3,2,2,2.34,2,1,10,8,10,10,7,63,108,86,B,P
28,354601,CARPIO,MARY,1,2,2,1,1,2.03,1,2,10,10,10,10,9,71,120,96,A,P
29,378446,SAUNDERS,TAMARA,1,1,2,1,2,2.8,1,2,4,6,5,4,5,57,81,65,D,P
30,380157,LUTZ,WILLIAM,2,4,3,2,2,2.25,2,2,10,9,10,10,8,61,118,86,B,P
31,390203,SHIMA,MIHAELA,1,2,3,2,2,2.28,1,2,6,7,9,6,8,61,97,78,C,P
32,392464,DOMINGO,MONIKA,1,4,3,2,3,3.02,2,1,10,10,10,9,9,55,103,82,B,P
33,414775,RATANA,JASON,2,2,3,2,1,2.38,1,2,8,9,10,10,9,50,96,77,C,P
34,417003,EVANGELIST,NIKKI,1,2,3,2,2,1.91,1,2,9,8,10,10,6,66,109,87,B,P
35,419891,DE CANIO,PAULA,1,4,3,2,2,3.53,1,2,6,7,7,9,9,54,92,74,C,P
